ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory,pathway
hsa04814,Motor proteins,24/652,195/9423,0.12307692307692308,1.7787635677206233,2.9959870453229622,0.00412530124861744,0.0385028116537628,0.03184443069108201,81930/3796/80022/3835/24137/23095/84790/9493/7846/7280/10112/1062/9585/10383/79861/3832/4648/9928/3833/56992/4640/63971/10381/7125,24,FDR,B_higher,KEGG,Cellular Processes,Cell motility,Motor proteins
hsa05222,Small cell lung cancer,14/652,93/9423,0.15053763440860216,2.175638234712052,3.1063125170700157,0.00454050065099051,0.04123265456034625,0.03410219550103827,578/3918/7187/1870/1164/317/6502/1026/9134/3673/1869/10319/4843/8503,14,FDR,B_higher,KEGG,Human Diseases,Cancer: specific types,Small cell lung cancer
hsa00564,Glycerophospholipid metabolism,15/652,105/9423,0.14285714285714285,2.064636283961437,2.990923824040935,0.00556786828557142,0.047969326768,0.03967387928180451,142891/50487/79888/10555/1608/43/5321/255189/9926/5337/2819/5320/151056/283748/84647,15,FDR,B_higher,KEGG,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
hsa04064,NF-kappa B signaling pathway,15/652,105/9423,0.14285714285714285,2.064636283961437,2.990923824040935,0.00556786828557142,0.047969326768,0.03967387928180451,4067/8792/7187/4615/79092/84433/10913/2921/10673/2919/2920/597/6357/7124/3383,15,FDR,B_higher,KEGG,Environmental Information Processing,Signal transduction,NF-kappa B signaling pathway
hsa04971,Gastric acid secretion,19/461,76/9423,0.25,5.110086767895878,8.159080311520754,2.5002985720613707e-9,7.875940501993317e-7,7.027154934109326e-7,115111/887/3776/9992/3773/496/1131/495/389015/3772/6522/2770/107/3784/5567/482/3766/6752/816,19,Nominal,A_higher,KEGG,Organismal Systems,Digestive system,Gastric acid secretion
hsa04978,Mineral absorption,16/461,61/9423,0.26229508196721313,5.361402510579283,7.750439155490027,2.1971759059486296e-8,3.4605520518690916e-6,3.0876103520436008e-6,3163/4494/4501/4490/4499/4495/4493/115019/7018/4502/6543/4496/482/6550/55503/9843,16,Nominal,A_higher,KEGG,Organismal Systems,Digestive system,Mineral absorption
hsa04081,Hormone signaling,27/461,219/9423,0.1232876712328767,2.5200427896472823,5.161894319637307,8.232883662307015e-6,7.186408559598763e-4,6.411933451672079e-4,1816/3480/887/2690/886/51738/1442/4090/3953/11069/2057/2797/4883/2770/107/5567/4093/5745/117247/10267/6752/4161/147/2981/154/269/9843,27,Nominal,A_higher,KEGG,Environmental Information Processing,Signaling molecules and interaction,Hormone signaling
hsa04974,Protein digestion and absorption,17/461,103/9423,0.1650485436893204,3.373649516669124,5.493470443783,9.125598170919064e-6,7.186408559598763e-4,6.411933451672079e-4,643834/1358/1280/256076/63036/1286/3784/3769/51032/1287/6543/482/117247/6550/23436/10136/5644,17,Nominal,A_higher,KEGG,Organismal Systems,Digestive system,Protein digestion and absorption
hsa04080,Neuroactive ligand-receptor interaction,37/461,371/9423,0.09973045822102426,2.0385251796457955,4.628617102834791,2.6801715775363645e-5,0.0016885080938479,0.00150653854989938,1816/5733/2893/887/2690/886/51738/2566/1442/1131/3953/727/2892/5030/2797/3354/255061/133/6344/339403/2562/1129/2147/100169851/5745/130576/6752/83551/2561/4161/147/1906/154/1903/2556/4852/5644,37,Nominal,A_higher,KEGG,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,6/461,16/9423,0.375,7.665130151843818,6.051493854651398,6.984034085934092e-5,0.00366661789511539,0.00327146859814807,2523/6482/26301/8706/53947/10690,6,Nominal,A_higher,KEGG,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series
