category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,1/652,16/9423,0.0625,0.9032783742331288,-0.10556715059005989,0.6827898143326936,0.9999999976978646,0.8270676672689106,10317,1
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,6/652,99/9423,0.06060606060606061,0.8759063022866704,-0.33840516499067524,0.6898734430325573,0.9999999976978646,0.8270676672689106,1870/1026/113/1869/8503/1565,6
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,6/652,99/9423,0.06060606060606061,0.8759063022866704,-0.33840516499067524,0.6898734430325573,0.9999999976978646,0.8270676672689106,1608/5321/255189/5337/8503/283748,6
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,7/652,115/9423,0.06086956521739131,0.8797145905574819,-0.35383800360002604,0.6915210084710027,0.9999999976978646,0.8270676672689106,818/5331/43/113/84699/3717/8503,7
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,2/652,34/9423,0.058823529411764705,0.8501443522194153,-0.2386567359810712,0.6924319035737739,0.9999999976978646,0.8270676672689106,8553/79365,2
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,3/652,51/9423,0.058823529411764705,0.8501443522194153,-0.29255859101611453,0.6951942591897035,0.9999999976978646,0.8270676672689106,11015/9601/1080,3
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,7/652,116/9423,0.0603448275862069,0.8721308440871588,-0.3777989341055341,0.7001788591243916,0.9999999976978646,0.8270676672689106,2906/5331/5321/255189/5337/113/283748,7
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,9/652,148/9423,0.060810810810810814,0.8788654451998011,-0.404960569319164,0.7041175730443094,0.9999999976978646,0.8270676672689106,578/1870/672/1026/675/1869/388585/8503/51176,9
Metabolism,Metabolism of other amino acids,hsa00450,Selenocompound metabolism,1/652,17/9423,0.058823529411764705,0.8501443522194153,-0.16860322643432601,0.7047756802894367,0.9999999976978646,0.8270676672689106,9060,1
Metabolism,Lipid metabolism,hsa00061,Fatty acid biosynthesis,1/652,18/9423,0.05555555555555555,0.8029141104294478,-0.22818294283833782,0.7252398793593164,0.9999999976978646,0.8270676672689106,51703,1
Metabolism,Glycan biosynthesis and metabolism,hsa00511,Other glycan degradation,1/652,18/9423,0.05555555555555555,0.8029141104294478,-0.22818294283833782,0.7252398793593164,0.9999999976978646,0.8270676672689106,129807,1
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,12/652,199/9423,0.06030150753768844,0.8715047630791997,-0.4994876019649195,0.7314441112914225,0.9999999976978646,0.8270676672689106,2906/136/3357/5331/150/43/3352/113/6539/5031/5029/140,12
