category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,19/458,301/9423,0.06312292358803986,1.298705914781877,1.1904500515397554,0.14624782707838024,0.5861257262705228,0.5229592946173086,3480/7423/4902/55799/2066/80310/1956/4616/2122/5533/5623/9254/4254/3815/22808/26281/5979/5567/7043,19
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,7/458,90/9423,0.07777777777777778,1.6002183406113537,1.2931503617779487,0.14718536637932028,0.5861257262705228,0.5229592946173086,3480/5563/8408/9365/10891/107/5567,7
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,8/458,107/9423,0.07476635514018691,1.5382606211484307,1.2656070901322782,0.14885732730679946,0.5861257262705228,0.5229592946173086,8789/5563/3945/5533/10891/5567/5224/816,8
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,3/458,28/9423,0.10714285714285714,2.204382407985028,1.4425277243871877,0.15300205007607143,0.5942460224729427,0.5302044711788662,496/495/155066,3
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,4/458,43/9423,0.09302325581395349,1.9138824007311872,1.3575388419895533,0.15469261537390888,0.5942460224729427,0.5302044711788662,33/10455/38/131,4
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,6/458,75/9423,0.08,1.645938864628821,1.2693805443607735,0.15658560696974558,0.5942706770538537,0.5302264687498044,2940/2946/2941/2953/653689/2947,6
Metabolism,Glycan biosynthesis and metabolism,hsa00604,Glycosphingolipid biosynthesis - ganglio series,2/458,15/9423,0.13333333333333333,2.743231441048035,1.5271481396167133,0.1633738680846869,0.6126520053175759,0.5466268518622982,6482/29906,2
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,7/458,93/9423,0.07526881720430108,1.5485983941400197,1.2016675301548623,0.1657371601753633,0.614202417120464,0.5480101766789103,4616/1021/3908/3913/1286/22798/1287,7
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,9/458,128/9423,0.0703125,1.4466259552401746,1.1498822970038667,0.17008568556349501,0.6188578004407977,0.552163852022366,5153/9061/8622/4832/22875/100/107/56953/2766,9
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,14/458,217/9423,0.06451612903225806,1.3273700521200167,1.102712940700438,0.1709226305979346,0.6188578004407977,0.552163852022366,5523/149461/6706/644672/51702/1286/285848/126410/1287/353288/100132463/319101/3857/6271,14
