category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,4/662,38/9423,0.10526315789473684,1.4983304181904913,0.8460884406965924,0.27624040259845595,0.6314066345107564,0.5202379225448902,2810/483/3291/8503,4
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,13/662,154/9423,0.08441558441558442,1.2015831600423745,0.6933010737548839,0.2857784862705846,0.64879440126294885,0.5345643093112643,1719/2643/195814/122481/8942/7364/29925/25902/6999/248/158067/3620/54576,13
Metabolism,Lipid metabolism,hsa01040,Biosynthesis of unsaturated fatty acids,3/662,27/9423,0.1111111111111111,1.581570996978852,0.8318342969873849,0.2941999889737729,0.6634308476187094,0.5466237873550144,11332/6319/60481,3
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,8/662,90/9423,0.08888888888888889,1.2652567975830815,0.6950256753928561,0.29731606982949577,0.6659879964180706,0.5487307113344378,5606/4615/29126/10538/3717/55509/6772/8503,8
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,6/662,65/9423,0.09230769230769231,1.3139205205670463,0.6980854211565451,0.3053078114838418,0.6793604282024558,0.559748723738239,949/5331/3949/113/84699/183,6
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism,2/662,16/9423,0.125,1.7792673716012084,0.8575207075690633,0.31132308370495276,0.687356005085223,0.5663365580746041,1644/259307,2
Metabolism,Lipid metabolism,hsa00062,Fatty acid elongation,3/662,28/9423,0.10714285714285714,1.5250863185153214,0.7648654268406955,0.31392459795383665,0.687356005085223,0.5663365580746041,11332/10449/60481,3
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,5/662,53/9423,0.09433962264150944,1.342843299321667,0.6879985290430409,0.3150381689973939,0.687356005085223,0.5663365580746041,7421/5331/483/624/3816,5
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,4/662,41/9423,0.0975609756097561,1.3886964851521628,0.6856121922255793,0.32480326736406134,0.7040896634472557,0.580124002151091,1870/1026/1869/4318,4
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,8/662,93/9423,0.08602150537634409,1.2244420621771759,0.5979000741246588,0.32914962980922957,0.7045154166077842,0.5804747950120528,6776/3561/3717/6772/3123/3566/3126/3125,8
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,5/662,54/9423,0.09259259259259259,1.31797583081571,0.6441219153513991,0.3291932154982801,0.7045154166077842,0.5804747950120528,355/3002/3123/3126/3125,5
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,17/662,214/9423,0.0794392523364486,1.1307493576531045,0.5318190851834084,0.33448936509325716,0.711319156147686,0.5860806330414832,91860/578/7133/1072/355/805/5606/4615/1111/891/130340/6890/9133/684/9582/8503/7124,17
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,4/662,43/9423,0.09302325581395349,1.324105950959039,0.5855224054899195,0.3575006490223077,0.7509889773349622,0.6187659806989193,51703/10449/130/127,4
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,9/662,109/9423,0.08256880733944955,1.1752958784888716,0.5059883782165688,0.35761379873093435,0.7509889773349622,0.6187659806989193,6776/3561/3717/6772/3123/3566/3126/3125/3662,9
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,3/662,31/9423,0.0967741935483871,1.3774973199493226,0.578681211701893,0.37305619232018905,0.7785520535377858,0.6414761593998674,55276/5214/64080,3
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,11/662,138/9423,0.07971014492753623,1.1346052804413502,0.43785911089626495,0.37703603590859786,0.7820006670696844,0.6443175922284681,6197/3606/10095/5606/6195/4615/834/29108/10092/8503/7124,11
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,6/662,71/9423,0.08450704225352113,1.2028849836177182,0.4716833366563341,0.38172188262774653,0.782064344895871,0.6443700586078135,4067/10392/2921/2919/3579/2920,6
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,6/662,71/9423,0.08450704225352113,1.2028849836177182,0.4716833366563341,0.38172188262774653,0.782064344895871,0.6443700586078135,3939/9123/5214/80201/8503/3948,6
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,3/662,32/9423,0.09375,1.3344505287009063,0.520924352061798,0.39259043932089677,0.7844976007587885,0.6463749028808314,578/332/317,3
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,12/662,154/9423,0.07792207792207792,1.1091536861929612,0.375410167327349,0.3980309300648974,0.7844976007587885,0.6463749028808314,91860/818/805/5331/5321/7226/255189/1026/113/5997/952/283748,12
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,13/662,168/9423,0.07738095238095238,1.1014512300388435,0.36470981473015707,0.40029573867341856,0.7844976007587885,0.6463749028808314,818/355/11035/834/5321/255189/6776/3717/81030/6772/29108/7124/283748,13
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,7/662,86/9423,0.08139534883720931,1.158592707089159,0.4061182097523347,0.40056875735911024,0.7844976007587885,0.6463749028808314,818/374/6776/2065/1026/2069/8503,7
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,12/662,155/9423,0.07741935483870968,1.101997855959458,0.3519553602226705,0.40679014154036847,0.7844976007587885,0.6463749028808314,949/818/1870/5331/3949/1026/113/84699/9134/1869/183/51176,12
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,6/662,73/9423,0.0821917808219178,1.1699292306418905,0.4006336468062325,0.40737731155237,0.7844976007587885,0.6463749028808314,7364/130/127/54576/1565/1576,6
