gene,logFC,P.Value,adj.P.Val
LOC100509105,0.5022771425619,3.35123144458442e-06,3.7965194420439776e-05
XLOC_l2_004951,0.961206849953696,3.36807949353916e-06,3.812832055320833e-05
LAIR2,1.2106342038901,3.38853543923127e-06,3.833036161975695e-05
XLOC_009181,0.875255859491004,3.43770790942549e-06,3.8796989263516244e-05
MTHFD1L,0.583549575387157,3.46223096922237e-06,3.900788654838761e-05
PLA2G2A,1.53311433632044,3.46839243914615e-06,3.9038344313147094e-05
C16orf59,0.64394454884879,3.52728475127175e-06,3.95459097206916e-05
GALNT5,0.528095956023046,3.52828961779139e-06,3.95459097206916e-05
SH3PXD2B,0.574867560246094,3.53486813378009e-06,3.9599111193270416e-05
FOXD1,1.44061169385177,3.54198360996556e-06,3.9638923964077634e-05
IFIT3,0.72156781544775,3.59487985425961e-06,4.018498636629191e-05
CLCF1,0.711506100207296,3.61909447331289e-06,4.04095548562763e-05
MXD1,0.611840594653017,3.62404001839315e-06,4.04494067833414e-05
VMO1,0.710490343607209,3.6257079558427e-06,4.045265960755705e-05
NEK11,0.589859884251627,3.67554837346737e-06,4.099317480055373e-05
SPATS2L,0.535589347003926,3.68124663779567e-06,4.1041151817731085e-05
CCR6,0.594098567994806,3.68443457935035e-06,4.106111619944941e-05
CLDN23,0.588336984071052,3.70106390284223e-06,4.123080590474884e-05
ABCG5,1.56475091772745,3.86427937112019e-06,4.286098687534814e-05
RAB32,0.640502174583669,3.94134815431261e-06,4.3593654331554e-05
CREB3L3,1.51824811292997,3.95295008813932e-06,4.370552941694445e-05
PADI2,0.928764330755297,4.0157542210145e-06,4.433320249706015e-05
ACE2,1.65359564477936,4.03799644782772e-06,4.454528513842382e-05
GEN1,0.581475797161952,4.04392510076899e-06,4.457722087824422e-05
VNN1,1.57305985470653,4.10874734782104e-06,4.519007000664848e-05
LRRC19,1.95206746485544,4.11876230178241e-06,4.528327217537653e-05
LOC100506585,0.776397829002068,4.18516101748389e-06,4.591023216939775e-05
MS4A15,0.971654187149739,4.20786773703019e-06,4.6124885138322725e-05
OAS2,0.648843390249255,4.22995228478559e-06,4.6315140739671734e-05
IKBIP,0.500336069340919,4.23302298754488e-06,4.6331500766468874e-05
DNAJC12,0.636129032705851,4.25537237433409e-06,4.6489547708896e-05
HIST1H1D,0.594913906693574,4.26096016580457e-06,4.653329518865281e-05
RTN4R,0.526206806129434,4.28945306121114e-06,4.68270603873971e-05
HSD17B2,0.915472270668933,4.35795097548501e-06,4.745352254564167e-05
FLVCR2,0.993517596124362,4.4371270410759e-06,4.8206391675836796e-05
SLC6A19,2.04687579851661,4.50736850623626e-06,4.8933337887429327e-05
FOLH1B,1.54085493888585,4.52021497754689e-06,4.9054681595327916e-05
LY75,0.653584321944033,4.61481536221863e-06,4.998901358823484e-05
TBX3,0.81945872326111,4.65631385531055e-06,5.0419952682338406e-05
XLOC_009021,0.693087371475943,4.73515418440639e-06,5.119820131395695e-05
