,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
145,GSM3754793,0.366145417,0.327687533,B1366-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
146,GSM3754794,0.588342321,0.385793157,B1489-1: Gastritis,Gastritis,GSE130823,Gastritis
147,GSM3754795,0.767070897,-0.053186974,B1489-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
148,GSM3754796,0.135043819,0.727263498,B1505-1: Gastritis,Gastritis,GSE130823,Gastritis
149,GSM3754797,0.69684053,0.062805544,B1505-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
150,GSM3754798,0.108977154,0.687947628,B1666-1: Gastritis,Gastritis,GSE130823,Gastritis
151,GSM3754799,0.798925677,-0.054326657,B1666-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
152,GSM3754800,0.235850786,0.616809364,B1834-1: Gastritis,Gastritis,GSE130823,Gastritis
153,GSM3754801,0.757858226,-0.055052187,B1834-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
154,GSM3754802,0.422982105,0.545873486,B1514-1: Gastritis,Gastritis,GSE130823,Gastritis
155,GSM3754803,0.751855977,-0.028478967,B1514-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
156,GSM3754804,0.586614077,0.169534138,B2330-1: Gastritis,Gastritis,GSE130823,Gastritis
157,GSM3754805,0.628802399,0.011331478,B2330-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
158,GSM3754806,0.271557961,0.6475803,B1476-1: Gastritis,Gastritis,GSE130823,Gastritis
159,GSM3754807,0.730522983,-0.027975789,B1476-2: GastricLowGradeIntraepithelialNeoplasia,GastricLowGradeIntraepithelialNeoplasia,GSE130823,LGN
160,GSM3754808,0.42180736,0.401380509,B0216-1: Gastritis,Gastritis,GSE130823,Gastritis
161,GSM3754809,0.323348911,0.508477892,B0216-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
162,GSM3754810,0.331032209,0.62193025,B0249-1: Gastritis,Gastritis,GSE130823,Gastritis
163,GSM3754811,0.730233281,-0.035336539,B0249-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
164,GSM3754812,0.753207286,0.013312191,B0362-1: Gastritis,Gastritis,GSE130823,Gastritis
165,GSM3754813,0.497856682,0.198558701,B0362-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
166,GSM3754814,0.137488237,0.665979816,B0420-1: Gastritis,Gastritis,GSE130823,Gastritis
