"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF850",-0.180754177867504,2.86208304064184,-1.7157539948356,0.0905467719645343,0.219771104599747,-5.37080300410865
"XLOC_000514",0.136889982209498,1.87433244270466,1.71564876776433,0.0905661540034821,0.219799994537479,-5.37097666357343
"MRPL10",-0.0925627023328497,6.97680495936644,-1.71538544229587,0.0906146715192159,0.219899584360588,-5.37141119474237
"DVL3",0.0996962074486616,5.38300264634169,1.71515016137161,0.0906580399070211,0.219983681709184,-5.37179939581401
"SESTD1",0.125734475541473,3.26163845447138,1.71510157207134,0.090666998301184,0.219983681709184,-5.37187955948556
"MSTO2P",-0.171949163844951,7.27666169389241,-1.71507562613848,0.0906717822425258,0.219983681709184,-5.3719223647875
"TGM5",-0.113165460513787,1.58995526635287,-1.71490897119564,0.0907025152179866,0.220040079018177,-5.37219729599696
"RBBP9",0.0993802745137566,4.52071337167136,1.71462877173453,0.0907542063163929,0.220147306250611,-5.37265948657817
"XLOC_013949",-0.26599499102516,3.72262896091033,-1.71455451542499,0.0907679091490693,0.2201623732315,-5.37278196113174
"XLOC_l2_004757",-0.0638718970559315,1.59199202113386,-1.71451318702086,0.0907755363912915,0.220162702275091,-5.37285012397118
"XLOC_001642",0.189276516129401,1.98208143375819,1.7144694341918,0.090783611639716,0.220164117747811,-5.37292228376191
"XLOC_000364",-0.0862235546120682,1.53633720332877,-1.71429105326079,0.0908165406530167,0.220225802187545,-5.37321646276381
"XLOC_001897",-0.153330066356399,2.04065575888631,-1.71358173300352,0.090947577813324,0.220525364420624,-5.37438596796693
"XLOC_006890",-0.173243535227688,1.86488304086887,-1.7134847262103,0.0909655105461655,0.220550649610652,-5.37454587514247
"XLOC_001823",-0.091094696513506,1.79913558500973,-1.71255534006874,0.0911374646145588,0.220949332626023,-5.37607746440544
"CCDC114",-0.151930265034864,2.21739105922295,-1.71234745070271,0.0911759645916893,0.221019047742525,-5.37641995270285
"DLX6-AS1",0.255668499301102,1.80951366285596,1.71228487050041,0.0911875567182287,0.221019047742525,-5.3765230432554
"XLOC_012025",0.132246209950547,3.25915152818385,1.71227825095899,0.0911887829684944,0.221019047742525,-5.37653394765437
"GALR3",-0.190390332513644,9.52779000365307,-1.71220073757786,0.0912031430981326,0.221029172175231,-5.37666163289357
"SARS2",-0.0999637483363855,5.98463347838917,-1.71217451086879,0.0912080022787883,0.221029172175231,-5.37670483408324
"LOC283435",0.184702627324013,1.82682901740719,1.71201596285163,0.0912373819528428,0.221082138920691,-5.37696598476295
"PDGFRL",0.264595072274656,2.97379228104269,1.71119769052957,0.0913891351019981,0.221431602141769,-5.37831343952565
