gene,logFC,P.Value
TPD52L1,-1.38796655389148,3.12432333675337e-11
CTF1,-0.835725554040549,3.29307321746546e-11
USF2,-0.436635095875065,3.32781311196141e-11
C10orf81,1.61118520346727,3.3440699069412e-11
LOC642648,-1.46763662645367,3.34569806401943e-11
ECHDC3,-1.25011844165046,3.38070321757165e-11
XLOC_003872,-0.892503699588575,3.41604768443132e-11
RPS6KA3,0.512585273110689,3.48771126327277e-11
MT1F,-1.21110930489086,3.49541921040877e-11
XLOC_005180,-1.13424911519727,3.52701413961258e-11
C1orf130,-1.20157554239001,3.60649978298303e-11
LOC100652948,-1.1871347566823,3.62391119417422e-11
OAS3,1.04299705656754,3.70974055059238e-11
GADD45B,-0.735835329539102,3.72725010458661e-11
PTBP1,0.563570088371403,3.79864851947624e-11
CLRN3,2.85664751155209,3.962598563967e-11
PHLDA2,1.18509972637835,3.99155679046692e-11
ABHD16A,0.496020476899291,4.05989933756035e-11
RGMB,-0.891776129651499,4.10209461458191e-11
NFATC2,-0.749531366537534,4.25465948057826e-11
LOC400464,-0.968668475155291,4.27640919725636e-11
SYTL3,-0.791260141677073,4.36410410205171e-11
FLJ37453,-0.501553358199616,4.44747465742429e-11
MDH1,-0.446023266828627,4.4966025479179e-11
HSD17B11,0.990492358164676,4.58446437356595e-11
ATXN7L2,-1.32728741059771,4.66931781543997e-11
XLOC_014161,0.994542742379085,4.84449298732441e-11
CHRM3,-1.266674778321,4.85141208342594e-11
KRT19,0.791677606051968,4.88922380212477e-11
GFOD2,0.459086094175345,4.95931715501863e-11
WDR1,0.620523493416308,4.99944795980964e-11
MUC13,1.62768382583782,5.23145596867282e-11
TMC7,1.16780827127212,5.23266169130429e-11
LACTB2,0.667749558837309,5.24717520760078e-11
ALAD,-0.550931629052532,5.25272055583344e-11
UCA1,2.09861422405005,5.30232749033249e-11
ARHGAP27,0.72203632503989,5.30732462381587e-11
TTYH3,0.611006957922095,5.32582567797577e-11
LOC407835,0.514576046223316,5.41799836116867e-11
SMAD5,-0.988004379139298,5.43618170672333e-11
XLOC_l2_010149,1.1577125562419,5.46120311166941e-11
SLC29A2,0.932112043378597,5.57849811984385e-11
C22orf28,0.377205251394461,5.71559119157605e-11
CD9,0.994058714397592,5.78777544224905e-11
LEPR,-1.6205757854947,5.96813834448535e-11
ZNF580,-0.495971552517421,6.05474986655866e-11
C2orf82,1.12060730061842,6.09359480612027e-11
SMYD2,-0.720228559290979,6.12624730133752e-11
PCSK5,1.33127608005445,6.18064359389911e-11
LOC100652751,0.902180564466893,6.19025869433798e-11
RAPGEF4,-1.03756383058379,6.30256635765205e-11
CBX7,-0.651472632791694,6.43455236062202e-11
MDFI,1.30332489885584,6.56977935418827e-11
ZNF503-AS2,-0.854323885458739,6.66848901163329e-11
TNFRSF11A,1.6980066180135,7.03043798898711e-11
FAM150B,-1.79665143850755,7.10446288492919e-11
LIPG,1.16630415216359,7.21548074691557e-11
RHOG,0.442177316596109,7.30966955970697e-11
IL18,0.752527741409613,7.36541546659065e-11
ITPK1,0.759532328497849,7.5085215432101e-11
CHST3,-1.44748197622707,7.53065930932777e-11
CDX2,2.50371950073012,7.66662642841297e-11
CHD3,-0.525360116872553,7.70417732138763e-11
XLOC_002258,-2.63567379357949,7.73794659850772e-11
HPCAL1,-0.55024106659847,7.86179065510906e-11
MARCH3,0.959352450909966,8.3066175658034e-11
KIAA1958,-0.724322274749276,8.32084691362744e-11
FUT6,0.881476682624305,8.37002734842187e-11
AZGP1,-1.34336750968349,8.41963625475702e-11
CAPZA1,0.468113283596423,8.53756895211531e-11
BCL2L2,-0.433848112655996,8.65312360106317e-11
SNORA47,-0.713446142072625,8.82883864325684e-11
C7orf74,0.622121658448701,8.82923348243253e-11
PPT2,-0.44336142426878,9.00253301759204e-11
CLDN7,1.7605720042955,9.04985850529511e-11
XLOC_l2_009736,-0.823130258506567,9.05607694633872e-11
RNASEH1,0.521233381189367,9.05670679520427e-11
TMEM86B,-0.697929706606934,9.09811059630391e-11
LOC100134138,1.56765106503079,9.23454601140387e-11
STX1A,0.778905281997091,9.38404918761934e-11
LRRC17,-1.73152851987815,9.39870036650934e-11
GPSM2,0.798103667461779,9.67958366851266e-11
ZNF444,-0.374125974332173,9.8244284047952e-11
DBN1,-1.02527392201431,1.00873253899907e-10
XLOC_003021,-0.301885398755161,1.00972978576591e-10
CFL1,0.595996326803796,1.01903280677803e-10
NMD3,-0.506204380345507,1.02064792023965e-10
XDH,2.07495697089673,1.02869176589218e-10
LOC389641,0.854076490622167,1.03586565694725e-10
SLC7A7,1.22665746363214,1.04947118709215e-10
SLC5A2,-1.09811674833603,1.05125380150635e-10
ZBTB4,-0.472395053881253,1.0995444092032e-10
GNAZ,-1.0019465062942,1.10520939134228e-10
TTC7B,-1.27475030292214,1.10574512294385e-10
AK3,-0.446733758651162,1.10680331191225e-10
ATP8A1,-0.789561164522357,1.11851466366708e-10
ARMCX1,-0.849268907141253,1.12582270232342e-10
SYNE1,-0.643889658936164,1.12858404460078e-10
LOC100505483,-0.696971212175912,1.14696613862241e-10
CDK6,-0.682608957637687,1.14779671386486e-10
LOC100507056,1.71786315281332,1.15541502646616e-10
CTSF,-1.09880435721827,1.16655586329571e-10
KIF18A,1.07226756551391,1.1731396936034e-10
KLK11,-1.60501698972681,1.18724026410372e-10
HOMER2,-1.35939276879828,1.19829089358952e-10
NT5C3,0.559183786126514,1.20474122291956e-10
EPHB3,-0.597633536789417,1.20482626826239e-10
LAMA2,-1.26256404087688,1.21826086394775e-10
MELK,1.11843557604028,1.24980344437223e-10
